"id"	"ProteinCount"	"SpeciesCount"	"FunctionalCategory"	"ConsensusFunctionalDescription"
"VOG06611"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06612"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06613"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06614"	65	65	"Xu"	"REFSEQ hypothetical protein"
"VOG06615"	18	18	"Xu"	"REFSEQ hypothetical protein"
"VOG06616"	19	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06617"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06618"	206	125	"Xu"	"sp|P32285|Y00G_BPT4 Uncharacterized protein dexA.1"
"VOG06619"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06620"	41	41	"Xu"	"REFSEQ hypothetical protein"
"VOG06621"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06622"	4	2	"Xu"	"REFSEQ hypothetical protein"
"VOG06623"	9	5	"Xu"	"REFSEQ tail assembly protein"
"VOG06624"	5	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06625"	5	4	"Xu"	"REFSEQ XkdF-like putative serine protease domain-containing protein"
"VOG06626"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06627"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06628"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06629"	4	4	"Xu"	"REFSEQ head scaffolding protein"
"VOG06630"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06631"	6	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06632"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06633"	37	36	"Xu"	"REFSEQ hypothetical protein"
"VOG06634"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06635"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06636"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06637"	6	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06638"	12	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06639"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06640"	9	9	"Xu"	"REFSEQ receptor binding tail protein"
"VOG06641"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06642"	8	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06643"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06644"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06645"	28	28	"Xu"	"REFSEQ hypothetical protein"
"VOG06646"	62	32	"Xu"	"REFSEQ hypothetical protein"
"VOG06647"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06648"	28	28	"Xu"	"REFSEQ hypothetical protein"
"VOG06649"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06650"	9	9	"Xu"	"REFSEQ putative transcription regulator"
"VOG06651"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06652"	3	3	"XhXr"	"sp|O67125|DPO3A_AQUAE DNA polymerase III subunit alpha"
"VOG06653"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06654"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06655"	19	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06656"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06657"	3	3	"Xu"	"REFSEQ dATP / dGTP pyrophosphohydrolase"
"VOG06658"	31	31	"Xu"	"REFSEQ hypothetical protein"
"VOG06659"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06660"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06661"	4	2	"Xu"	"REFSEQ hypothetical protein"
"VOG06662"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06663"	22	22	"Xu"	"REFSEQ hypothetical protein"
"VOG06664"	4	4	"Xh"	"sp|P08120|CO4A1_DROME Collagen alpha-1(IV) chain"
"VOG06665"	13	13	"Xu"	"REFSEQ hypothetical protein"
"VOG06666"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06667"	13	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06668"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06669"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06670"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06671"	15	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06672"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06673"	4	2	"Xu"	"REFSEQ hypothetical protein"
"VOG06674"	23	23	"Xu"	"REFSEQ hypothetical protein"
"VOG06675"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06676"	12	12	"Xu"	"REFSEQ portal protein"
"VOG06677"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06678"	24	24	"Xu"	"REFSEQ hypothetical protein"
"VOG06679"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06680"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06681"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06682"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06683"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06684"	27	27	"Xu"	"REFSEQ hypothetical protein"
"VOG06685"	35	35	"Xu"	"REFSEQ hypothetical protein"
"VOG06686"	12	12	"Xu"	"REFSEQ HTH DNA binding protein"
"VOG06687"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06688"	3	3	"Xu"	"REFSEQ single strand DNA binding protein"
"VOG06689"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06690"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06691"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06692"	21	21	"Xu"	"REFSEQ hypothetical protein"
"VOG06693"	46	24	"Xu"	"REFSEQ hypothetical protein"
"VOG06694"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06695"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06696"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06697"	29	29	"Xu"	"REFSEQ hypothetical protein"
"VOG06698"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06699"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06700"	32	32	"Xu"	"REFSEQ hypothetical protein"
"VOG06701"	17	17	"Xu"	"REFSEQ hypothetical protein"
"VOG06702"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06703"	27	27	"Xu"	"REFSEQ hypothetical protein"
"VOG06704"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06705"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06706"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06707"	24	24	"Xu"	"REFSEQ hypothetical protein"
"VOG06708"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06709"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06710"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06711"	34	34	"Xu"	"REFSEQ hypothetical protein"
"VOG06712"	35	35	"Xu"	"REFSEQ hypothetical protein"
"VOG06713"	21	21	"Xu"	"REFSEQ hypothetical protein"
"VOG06714"	19	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06715"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06716"	24	17	"Xu"	"REFSEQ hypothetical protein"
"VOG06717"	14	14	"Xu"	"REFSEQ DNA ligase"
"VOG06718"	30	30	"Xu"	"REFSEQ hypothetical protein"
"VOG06719"	17	17	"Xu"	"REFSEQ hypothetical protein"
"VOG06720"	18	18	"Xu"	"REFSEQ hypothetical protein"
"VOG06721"	21	18	"Xu"	"REFSEQ hypothetical protein"
"VOG06722"	21	21	"Xu"	"REFSEQ hypothetical protein"
"VOG06723"	51	51	"Xu"	"REFSEQ hypothetical protein"
"VOG06724"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06725"	26	26	"Xu"	"REFSEQ hypothetical protein"
"VOG06726"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06727"	24	24	"Xu"	"REFSEQ hypothetical protein"
"VOG06728"	21	21	"Xu"	"REFSEQ membrane protein"
"VOG06729"	49	49	"Xu"	"REFSEQ hypothetical protein"
"VOG06730"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06731"	75	43	"Xu"	"REFSEQ hypothetical protein"
"VOG06732"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06733"	13	13	"Xu"	"REFSEQ hypothetical protein"
"VOG06734"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06735"	4	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06736"	36	36	"Xu"	"REFSEQ hypothetical protein"
"VOG06737"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06738"	21	21	"Xu"	"REFSEQ DNA ligase"
"VOG06739"	5	3	"Xu"	"REFSEQ tail assembly chaperone"
"VOG06740"	35	35	"Xu"	"REFSEQ hypothetical protein"
"VOG06741"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06742"	15	15	"Xu"	"REFSEQ hypothetical protein"
"VOG06743"	21	21	"Xu"	"REFSEQ hypothetical protein"
"VOG06744"	37	37	"Xu"	"REFSEQ hypothetical protein"
"VOG06745"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06746"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06747"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06748"	90	59	"Xu"	"REFSEQ hypothetical protein"
"VOG06749"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06750"	47	44	"Xu"	"REFSEQ hypothetical protein"
"VOG06751"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06752"	62	36	"Xu"	"REFSEQ hypothetical protein"
"VOG06753"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06754"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06755"	6	6	"Xu"	"REFSEQ membrane protein"
"VOG06756"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06757"	8	8	"Xu"	"REFSEQ DUF4761 family protein"
"VOG06758"	37	37	"Xu"	"REFSEQ hypothetical protein"
"VOG06759"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06760"	32	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06761"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06762"	8	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06763"	10	2	"Xu"	"REFSEQ hypothetical protein"
"VOG06764"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06765"	5	5	"Xu"	"REFSEQ holin"
"VOG06766"	11	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06767"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06768"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06769"	7	7	"Xu"	"REFSEQ virion structural protein"
"VOG06770"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06771"	40	32	"Xu"	"REFSEQ hypothetical protein"
"VOG06772"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06773"	19	15	"Xu"	"REFSEQ hypothetical protein"
"VOG06774"	15	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06775"	28	28	"Xu"	"REFSEQ hypothetical protein"
"VOG06776"	47	35	"Xu"	"REFSEQ hypothetical protein"
"VOG06777"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06778"	12	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06779"	28	28	"Xu"	"REFSEQ hypothetical protein"
"VOG06780"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06781"	108	108	"Xu"	"REFSEQ membrane protein"
"VOG06782"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06783"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06784"	28	28	"Xu"	"REFSEQ hypothetical protein"
"VOG06785"	20	20	"Xu"	"REFSEQ hypothetical protein"
"VOG06786"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06787"	3	3	"Xu"	"REFSEQ membrane protein"
"VOG06788"	7	7	"Xu"	"sp|P10304|V193_BPT3 Gene 19.3 protein"
"VOG06789"	8	7	"Xu"	"REFSEQ DUF1076 domain-containing protein"
"VOG06790"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06791"	11	8	"Xu"	"REFSEQ virion structural protein"
"VOG06792"	6	6	"Xu"	"REFSEQ Arc-like repressor"
"VOG06793"	35	32	"Xu"	"REFSEQ hypothetical protein"
"VOG06794"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06795"	7	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06796"	8	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06797"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06798"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06799"	5	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06800"	5	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06801"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06802"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06803"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06804"	38	30	"Xu"	"REFSEQ hypothetical protein"
"VOG06805"	8	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06806"	4	4	"Xu"	"sp|P63203|GADW_SHIFL HTH-type transcriptional regulator GadW"
"VOG06807"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06808"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06809"	28	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06810"	13	7	"Xu"	"REFSEQ tail assembly chaperone"
"VOG06811"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06812"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06813"	18	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06814"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06815"	9	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06816"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06817"	7	7	"Xu"	"REFSEQ portal protein"
"VOG06818"	7	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06819"	12	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06820"	19	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06821"	11	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06822"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06823"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06824"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06825"	8	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06826"	11	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06827"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06828"	20	20	"Xu"	"REFSEQ recombination directionality factor"
"VOG06829"	4	4	"Xu"	"REFSEQ membrane protein"
"VOG06830"	4	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06831"	8	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06832"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06833"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06834"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06835"	21	21	"Xu"	"REFSEQ hypothetical protein"
"VOG06836"	3	3	"Xu"	"REFSEQ radical SAM domain-containing protein"
"VOG06837"	12	6	"Xu"	"REFSEQ virion structural protein"
"VOG06838"	28	28	"Xu"	"REFSEQ hypothetical protein"
"VOG06839"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06840"	6	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06841"	4	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06842"	7	7	"Xu"	"REFSEQ minor head protein"
"VOG06843"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06844"	4	4	"Xu"	"REFSEQ head maturation protease"
"VOG06845"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06846"	36	36	"Xu"	"REFSEQ hypothetical protein"
"VOG06847"	17	17	"Xu"	"REFSEQ hypothetical protein"
"VOG06848"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06849"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06850"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06851"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06852"	14	14	"Xu"	"REFSEQ DUF1627 domain-containing protein"
"VOG06853"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06854"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06855"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06856"	20	20	"Xu"	"REFSEQ hypothetical protein"
"VOG06857"	60	59	"XhXp"	"sp|E1XTJ1|PLP_BPSAV O-seryl-dTMP PLP-dependent decarboxylase"
"VOG06858"	17	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06859"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06860"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06861"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06862"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06863"	20	20	"Xu"	"REFSEQ hypothetical protein"
"VOG06864"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06865"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06866"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06867"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06868"	6	6	"Xu"	"REFSEQ Fur-regulated basic protein FbpA"
"VOG06869"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06870"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06871"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06872"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06873"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06874"	53	47	"Xu"	"REFSEQ hypothetical protein"
"VOG06875"	40	40	"Xu"	"REFSEQ hypothetical protein"
"VOG06876"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06877"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06878"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06879"	29	29	"Xu"	"REFSEQ hypothetical protein"
"VOG06880"	4	4	"Xu"	"REFSEQ AAA family ATPase"
"VOG06881"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06882"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06883"	18	17	"Xu"	"REFSEQ hypothetical protein"
"VOG06884"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06885"	8	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06886"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06887"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06888"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06889"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06890"	45	45	"Xu"	"REFSEQ hypothetical protein"
"VOG06891"	15	15	"Xu"	"REFSEQ hypothetical protein"
"VOG06892"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06893"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06894"	20	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06895"	15	15	"Xu"	"REFSEQ hypothetical protein"
"VOG06896"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06897"	12	12	"Xu"	"REFSEQ endonuclease"
"VOG06898"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06899"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06900"	9	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06901"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06902"	43	43	"Xu"	"REFSEQ hypothetical protein"
"VOG06903"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06904"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06905"	42	42	"Xu"	"REFSEQ hypothetical protein"
"VOG06906"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06907"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06908"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06909"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06910"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06911"	9	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06912"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06913"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06914"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06915"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06916"	99	99	"Xu"	"REFSEQ hypothetical protein"
"VOG06917"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06918"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06919"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06920"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06921"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06922"	59	59	"Xu"	"REFSEQ hypothetical protein"
"VOG06923"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06924"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06925"	7	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06926"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06927"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06928"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06929"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06930"	4	2	"Xu"	"REFSEQ hypothetical protein"
"VOG06931"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06932"	5	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06933"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06934"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06935"	4	4	"XpXs"	"sp|P15076|DNAPR_BPT4 Terminal DNA protecting protein"
"VOG06936"	19	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06937"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06938"	19	19	"Xu"	"REFSEQ hypothetical protein"
"VOG06939"	4	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06940"	30	30	"Xu"	"REFSEQ hypothetical protein"
"VOG06941"	53	52	"Xu"	"REFSEQ hypothetical protein"
"VOG06942"	14	14	"Xu"	"REFSEQ hypothetical protein"
"VOG06943"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06944"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG06945"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06946"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06947"	3	3	"Xu"	"sp|O31918|YOQU_BACSU SPbeta prophage-derived uncharacterized protein YoqU"
"VOG06948"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06949"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06950"	5	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06951"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06952"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06953"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06954"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06955"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06956"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06957"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06958"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06959"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06960"	6	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06961"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06962"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06963"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06964"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06965"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06966"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06967"	22	22	"Xu"	"REFSEQ hypothetical protein"
"VOG06968"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06969"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06970"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06971"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06972"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06973"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06974"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06975"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06976"	5	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06977"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG06978"	12	12	"Xu"	"REFSEQ methyltransferase"
"VOG06979"	13	13	"Xu"	"REFSEQ hypothetical protein"
"VOG06980"	11	6	"Xu"	"REFSEQ hypothetical protein"
"VOG06981"	22	20	"Xu"	"REFSEQ hypothetical protein"
"VOG06982"	4	4	"Xu"	"REFSEQ CoA ligase"
"VOG06983"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG06984"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06985"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG06986"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06987"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06988"	46	46	"Xu"	"REFSEQ hypothetical protein"
"VOG06989"	23	23	"Xu"	"REFSEQ hypothetical protein"
"VOG06990"	9	9	"Xu"	"REFSEQ hypothetical protein"
"VOG06991"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG06992"	17	17	"Xu"	"REFSEQ hypothetical protein"
"VOG06993"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06994"	16	16	"Xu"	"REFSEQ hypothetical protein"
"VOG06995"	23	23	"Xu"	"REFSEQ hypothetical protein"
"VOG06996"	7	5	"Xu"	"REFSEQ hypothetical protein"
"VOG06997"	3	3	"Xu"	"REFSEQ hypothetical protein"
"VOG06998"	12	7	"Xu"	"REFSEQ hypothetical protein"
"VOG06999"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG07000"	5	5	"Xu"	"REFSEQ hypothetical protein"
"VOG07001"	15	15	"Xu"	"REFSEQ hypothetical protein"
"VOG07002"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG07003"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG07004"	10	10	"Xu"	"REFSEQ hypothetical protein"
"VOG07005"	24	24	"Xu"	"REFSEQ virion structural protein"
"VOG07006"	8	4	"Xu"	"REFSEQ hypothetical protein"
"VOG07007"	7	7	"Xu"	"REFSEQ hypothetical protein"
"VOG07008"	4	2	"Xu"	"REFSEQ hypothetical protein"
"VOG07009"	17	17	"Xu"	"REFSEQ hypothetical protein"
"VOG07010"	8	8	"Xu"	"REFSEQ hypothetical protein"
"VOG07011"	11	11	"Xu"	"REFSEQ hypothetical protein"
"VOG07012"	4	4	"Xu"	"REFSEQ hypothetical protein"
"VOG07013"	12	12	"Xu"	"REFSEQ hypothetical protein"
"VOG07014"	25	25	"Xu"	"REFSEQ hypothetical protein"
